id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,source_image
139,What is the most common characteristic of acids?,Sweet taste,Salty taste,Sour taste,Bitter taste,C,Acids are generally known for their sour taste.,Science,IMG_6507.jpg
140,Acids are divided into which two types based on their occurrence?,Strong and Weak,Organic and Inorganic,Natural and Mineral,Dilute and Concentrated,C,"Based on their occurrence, acids are classified as natural and mineral acids.",Science,IMG_6507.jpg
141,Which of the following is an example of a natural acid?,Hydrochloric acid,Sulfuric acid,Nitric acid,Lactic acid,D,"Lactic acid is found in natural sources like sour milk, making it a natural acid.",Science,IMG_6507.jpg
142,Mineral acids are prepared from:,Fruits,Animals,Minerals,Plants,C,Mineral acids are derived from minerals.,Science,IMG_6507.jpg
143,Which of the following is an example of a mineral acid?,Citric acid,Acetic acid,Hydrochloric acid,Tartaric acid,C,Hydrochloric acid (HCl) is a mineral acid.,Science,IMG_6507.jpg
144,Which acid is found in vinegar?,Malic acid,Acetic acid,Citric acid,Tartaric acid,B,Vinegar contains acetic acid.,Science,IMG_6507.jpg
145,Which acid is found in apples?,Malic acid,Acetic acid,Citric acid,Tartaric acid,A,Apples contain malic acid.,Science,IMG_6507.jpg
146,Which acid is found in tamarind?,Malic acid,Acetic acid,Tartaric acid,Citric acid,C,Tamarind contains tartaric acid.,Science,IMG_6507.jpg
147,Which acid is found in sour milk and curd?,Malic acid,Lactic acid,Citric acid,Tartaric acid,B,Sour milk and curd contain lactic acid.,Science,IMG_6507.jpg
148,Which acid is found in lemons?,Malic acid,Lactic acid,Citric acid,Tartaric acid,C,Lemons contain citric acid.,Science,IMG_6507.jpg
149,Which acid is used as a food preservative?,Benzoic acid,Lactic acid,Citric acid,Tartaric acid,A,Benzoic acid is used as a food preservative.,Science,IMG_6507.jpg
150,Which acid is found in grapes?,Malic acid,Lactic acid,Citric acid,Tartaric acid,D,Grapes contain tartaric acid.,Science,IMG_6507.jpg
151,Which acid is found in fish?,Linolenic acid,Lactic acid,Citric acid,Tartaric acid,A,Fish contains linolenic acid.,Science,IMG_6507.jpg
152,Which acid is found in ants?,Malic acid,Lactic acid,Formic acid,Tartaric acid,C,Ants contain formic acid.,Science,IMG_6507.jpg
153,Which acid is found in spinach and lettuce leaves?,Malic acid,Lactic acid,Oxalic acid,Tartaric acid,C,Spinach and lettuce leaves contain oxalic acid.,Science,IMG_6507.jpg
154,Which acid is found in fat?,Malic acid,Stearic acid,Citric acid,Tartaric acid,B,Fat contains stearic acid.,Science,IMG_6507.jpg
155,Which acid is found in gastric juice?,Hydrochloric acid,Lactic acid,Citric acid,Tartaric acid,A,Gastric juice contains hydrochloric acid.,Science,IMG_6507.jpg
156,Which acid is found in urine?,Malic acid,Lactic acid,Uric acid,Tartaric acid,C,Urine contains uric acid.,Science,IMG_6507.jpg
157,Which acid is found in tea?,Malic acid,Lactic acid,Tanic acid,Tartaric acid,C,Tea contains tanic acid.,Science,IMG_6507.jpg
158,What is the most common characteristic of bases?,Sour taste,Bitter taste and soapy feel,Salty taste,Sweet taste,B,Bases are known for their bitter taste and soapy feel.,Science,IMG_6507.jpg
159,A base is a substance that renders which ion in their aqueous solution?,Hydrogen ion (H+),Hydroxyl ion (OH-),Chloride ion (Cl-),Sodium ion (Na+),B,Bases release hydroxyl ions (OH-) in aqueous solutions.,Science,IMG_6507.jpg
160,Bases turn the color of red litmus paper to:,Red,Yellow,Blue,Green,C,Bases turn red litmus paper blue.,Science,IMG_6507.jpg
161,Which of the following is a synonym for 'conceal'?,Reveal,Hide,Expose,Display,B,'Conceal' means to hide or disguise something.,English,IMG_6492.jpg
162,What does 'brutal' mean?,Kind,Gentle,Cruel,Nice,C,'Brutal' means cruel and rude.,English,IMG_6492.jpg
163,Which word is a synonym for 'adjure'?,Refuse,Beg,Deny,Reject,B,'Adjure' means to beg someone to do something.,English,IMG_6492.jpg
164,What is a synonym for 'abolish'?,Start,Create,Finish,Build,C,'Abolish' means to finish or stop something.,English,IMG_6492.jpg
165,Which of the following is a synonym for 'allay'?,Agitate,Excite,Calm,Disturb,C,'Allay' means to calm or soothe.,English,IMG_6492.jpg
166,What does 'lament' mean?,Celebrate,Regret,Enjoy,Praise,B,'Lament' means to regret or deplore.,English,IMG_6492.jpg
167,Which word is a synonym for 'filthy'?,Clean,Pure,Dirty,Spotless,C,'Filthy' means dirty.,English,IMG_6492.jpg
168,What does 'amicable' mean?,Hostile,Unfriendly,Friendly,Aggressive,C,'Amicable' means friendly.,English,IMG_6492.jpg
169,Which of the following is a synonym for 'beneficent'?,Selfish,Generous,Mean,Greedy,B,'Beneficent' means generous or liberal.,English,IMG_6492.jpg
170,What is a synonym for 'burglar'?,Police,Thief,Guard,Officer,B,'Burglar' means thief.,English,IMG_6492.jpg
171,Which word is a synonym for 'abrupt'?,Slow,Gradual,Sudden,Expected,C,'Abrupt' means sudden or hasty.,English,IMG_6492.jpg
172,What does 'protrude' mean?,Shrink,Swell,Sink,Contract,B,'Protrude' means to swell or bulge.,English,IMG_6492.jpg
173,Which of the following is a synonym for 'pardon'?,Punish,Forgive,Blame,Accuse,B,'Pardon' means to forgive or excuse.,English,IMG_6492.jpg
174,What is a synonym for 'wreck'?,Repair,Build,Ruin,Construct,C,"'Wreck' means to ruin, demolish, or destroy.",English,IMG_6492.jpg
175,Which word is a synonym for 'adorn'?,Deface,Decorate,Spoil,Damage,B,'Adorn' means to decorate or beautify.,English,IMG_6492.jpg
176,What does 'abundant' mean?,Scarce,Rare,Plenty,Limited,C,'Abundant' means plenty.,English,IMG_6492.jpg
177,What is the antonym of 'optimism'?,Hope,Cheerfulness,Pessimism,Joy,C,The opposite of 'optimism' is 'pessimism'.,English,IMG_6492.jpg
178,Which word is the antonym of 'war'?,Conflict,Battle,Peace,Struggle,C,The opposite of 'war' is 'peace'.,English,IMG_6492.jpg
179,What is the antonym of 'unity'?,Agreement,Harmony,Diversity,Accord,C,The opposite of 'unity' is 'diversity'.,English,IMG_6492.jpg
180,Which of the following is the antonym of 'clear'?,Obvious,Distinct,Vague,Apparent,C,The opposite of 'clear' is 'vague'.,English,IMG_6492.jpg
181,What is the antonym of 'general'?,Broad,Specific,Common,Usual,B,The opposite of 'general' is 'specific'.,English,IMG_6492.jpg
182,Which word is the antonym of 'sudden'?,Quick,Rapid,Gradual,Fast,C,The opposite of 'sudden' is 'gradual'.,English,IMG_6492.jpg
183,What is the antonym of 'permanent'?,Lasting,Enduring,Temporary,Stable,C,The opposite of 'permanent' is 'temporary'.,English,IMG_6492.jpg
184,Which of the following is the antonym of 'oppose'?,Resist,Support,Fight,Defy,B,The opposite of 'oppose' is 'support'.,English,IMG_6492.jpg
185,What is the antonym of 'stout'?,Fat,Thin,Lean,Plump,C,The opposite of 'stout' is 'lean'.,English,IMG_6492.jpg
186,Which word is the antonym of 'secular'?,Worldly,Temporal,Religious,Earthly,C,The opposite of 'secular' is 'religious'.,English,IMG_6492.jpg
187,What is the antonym of 'abundant'?,Plentiful,Scarce,Ample,Copious,B,The opposite of 'abundant' is 'scarce'.,English,IMG_6492.jpg
188,Which of the following is the antonym of 'appoint'?,Hire,Dismiss,Employ,Nominate,B,The opposite of 'appoint' is 'dismiss'.,English,IMG_6492.jpg
189,What is the antonym of 'virtue'?,Goodness,Morality,Vice,Righteousness,C,The opposite of 'virtue' is 'vice'.,English,IMG_6492.jpg
190,Which word is the antonym of 'inhale'?,Breathe in,Exhale,Aspire,Sniff,B,The opposite of 'inhale' is 'exhale'.,English,IMG_6492.jpg
191,What is the antonym of 'voluntary'?,Optional,Compulsory,Willing,Discretionary,B,The opposite of 'voluntary' is 'compulsory'.,English,IMG_6492.jpg
192,Which of the following is the antonym of 'argue'?,Quarrel,Agree,Dispute,Debate,B,The opposite of 'argue' is 'agree'.,English,IMG_6492.jpg
193,What does the phrasal verb 'make out' mean?,Run away,Understand,Tolerate,Continue,B,'Make out' means to understand.,English,IMG_6492.jpg
194,What does the phrasal verb 'make off' mean?,Understand,Run away,Tolerate,Continue,B,'Make off' means to run away.,English,IMG_6492.jpg
195,What does the phrasal verb 'put up with' mean?,Understand,Run away,Tolerate,Continue,C,'Put up with' means to tolerate.,English,IMG_6492.jpg
196,What does the phrasal verb 'go on' mean?,Explode,Pass,Continue,Meet Socially,C,'Go on' means to continue.,English,IMG_6492.jpg
197,What does the phrasal verb 'go off' mean?,Explode,Pass,Continue,Meet Socially,A,'Go off' means to explode.,English,IMG_6492.jpg
198,What does the phrasal verb 'get through' mean?,Explode,Pass,Continue,Meet Socially,B,'Get through' means to pass.,English,IMG_6492.jpg
199,What does the phrasal verb 'get together' mean?,Explode,Pass,Continue,Meet Socially,D,'Get together' means to meet socially.,English,IMG_6492.jpg
200,What does the phrasal verb 'keep on' mean?,Continue,Maintain,Return,Make Something Happen,A,'Keep on' means to continue.,English,IMG_6492.jpg
201,What does the phrasal verb 'keep up' mean?,Continue,Maintain,Return,Make Something Happen,B,'Keep up' means to maintain.,English,IMG_6492.jpg
202,What does the phrasal verb 'bring back' mean?,Continue,Maintain,Return,Make Something Happen,C,'Bring back' means to return.,English,IMG_6492.jpg
203,What does the phrasal verb 'bring about' mean?,Continue,Maintain,Return,Make Something Happen,D,'Bring about' means to make something happen.,English,IMG_6492.jpg
204,What does the phrasal verb 'call for' mean?,Demand,Visit,Continue,Maintain,A,'Call for' means to demand.,English,IMG_6492.jpg
205,What does the phrasal verb 'call at' mean?,Demand,Visit,Continue,Maintain,B,'Call at' means to visit.,English,IMG_6492.jpg
206,What type of surface is a plane mirror?,Rough and unpolished,Smooth or highly polished,Curved and bumpy,Frosted,B,A plane mirror is defined as a smooth or highly polished surface.,Science,IMG_6513.jpg
207,What kind of image does a plane mirror produce?,Real image,Virtual image,Inverted image,Magnified image,B,A plane mirror produces a virtual image of the real object.,Science,IMG_6513.jpg
208,Which type of mirror has a reflective surface that bulges outward?,Plane mirror,Concave mirror,Convex mirror,Magnifying glass,C,A convex mirror has a reflective surface that bulges outward toward the light source.,Science,IMG_6513.jpg
209,Which type of mirror is NOT used to focus light?,Concave mirror,Plane mirror,Convex mirror,Parabolic mirror,C,A convex mirror reflects light outwards and is not used to focus light.,Science,IMG_6513.jpg
210,Which part of a spoon acts as a convex mirror?,The inside portion,The outside portion,The handle,The entire spoon,B,The outside portion of a spoon acts as a convex mirror.,Science,IMG_6513.jpg
211,Which type of mirror has a reflecting surface that is curved inwards?,Plane mirror,Convex mirror,Concave mirror,Magnifying glass,C,A concave mirror has a reflecting surface that is curved inwards towards the source of light.,Science,IMG_6513.jpg
212,Which part of a spoon acts as a concave mirror?,The outside portion,The handle,The inside portion,The entire spoon,C,The inside portion of a spoon acts as a concave mirror.,Science,IMG_6513.jpg
213,What happens to light rays when a real image is formed?,They diverge,They converge and meet,They scatter,They disappear,B,A real image is formed when light rays converge and meet each other.,Science,IMG_6513.jpg
214,Can a real image be projected onto a screen?,"No, never","Yes, always",Only sometimes,Only with special equipment,B,Real images can be projected onto a screen.,Science,IMG_6513.jpg
215,What is a characteristic of real images?,They are always upright,They are always inverted,They are always blurry,They are always magnified,B,Real images are always inverted.,Science,IMG_6513.jpg
216,Where can real images be projected?,Only on mirrors,Only on lenses,On pieces of paper or screens,Nowhere,C,Real images can be projected onto pieces of paper or screens.,Science,IMG_6513.jpg
217,Which of the following is an example of a real image?,A reflection in a mirror,An image formed on a cinema screen,An image in a spoon,An image in a puddle,B,An example of a real image is the image formed on a cinema screen.,Science,IMG_6513.jpg
218,What happens to light rays when a virtual image is formed?,They converge,They diverge,They disappear,They become brighter,B,A virtual image is formed by the divergence of light away from a point.,Science,IMG_6513.jpg
219,Can a virtual image be projected onto a screen?,"Yes, always","No, never",Only with special equipment,Only in certain conditions,B,Virtual images cannot be projected onto a piece of paper or a screen.,Science,IMG_6513.jpg
220,What is a characteristic of virtual images?,They are always inverted,They are always upright,They are always blurry,They are always magnified,B,Virtual images are always upright.,Science,IMG_6513.jpg
221,Which of the following is an example of a virtual image?,An image formed on a cinema screen,A person's reflection in a mirror,A photograph,A projected slide,B,An example of a virtual image is a person's reflection in a mirror.,Science,IMG_6513.jpg
222,When do the light rays from an object not meet but appear to meet behind the lens?,When a real image is formed,When a virtual image is formed,When a plane mirror is used,When light is refracted,B,A virtual image is formed when the light rays from an object do not meet but appear to meet behind the lens.,Science,IMG_6513.jpg
223,Which of the following is the study of the heart?,Biology,Cardiology,Cytology,Dendrology,B,Cardiology is the study of the heart.,Science,IMG_6513.jpg
224,Which of the following is the study of cells?,Biology,Cardiology,Cytology,Dendrology,C,Cytology is the study of cells.,Science,IMG_6513.jpg
225,Which of the following is the study of trees?,Biology,Cardiology,Cytology,Dendrology,D,Dendrology is the study of trees.,Science,IMG_6513.jpg
226,Which of the following is the study of skin?,Biology,Cardiology,Dermatology,Dendrology,C,Dermatology is the study of skin.,Science,IMG_6513.jpg
227,Which of the following is the study of insects?,Biology,Cardiology,Entomology,Dendrology,C,Entomology is the study of insects.,Science,IMG_6513.jpg
228,Which of the following is the study of blood?,Biology,Cardiology,Haematology,Dendrology,C,Haematology is the study of blood.,Science,IMG_6513.jpg
229,Which of the following is the study of weather?,Biology,Cardiology,Meteorology,Dendrology,C,Meteorology is the study of weather.,Science,IMG_6513.jpg
230,Which of the following is the study of microorganisms?,Biology,Cardiology,Microbiology,Dendrology,C,Microbiology is the study of microorganisms.,Science,IMG_6513.jpg
231,Which of the following is the study of the kidneys?,Biology,Nephrology,Microbiology,Dendrology,B,Nephrology is the study of the kidneys.,Science,IMG_6513.jpg
232,Which of the following is the study of the nervous system?,Biology,Cardiology,Neurology,Dendrology,C,Neurology is the study of the nervous system.,Science,IMG_6513.jpg
233,Which of the following is the study of diseases?,Biology,Cardiology,Pathology,Dendrology,C,Pathology is the study of diseases.,Science,IMG_6513.jpg
234,Which of the following is the study of animals?,Biology,Cardiology,Pathology,Zoology,D,Zoology is the study of animals.,Science,IMG_6513.jpg
235,Who is known as the 'father of artificial intelligence'?,Alan Turing,John McCarthy,Bill Gates,Steve Jobs,B,John McCarthy is known as the 'father of artificial intelligence'.,Computer Science,IMG_6541.jpg
236,In what decade did John McCarthy coin the term 'artificial intelligence'?,1940s,1950s,1960s,1970s,B,John McCarthy coined the term 'artificial intelligence' in the 1950s.,Computer Science,IMG_6541.jpg
237,What does MICR stand for?,Micro Ink Character Reader,Magnetic Ink Character Recognition,Mechanical Ink Code Reader,Multiple Input Character Reader,B,MICR stands for Magnetic Ink Character Recognition.,Computer,IMG_6541.jpg
238,What does OCR stand for?,Optical Character Recognition,Original Code Reader,Output Character Result,Open Computer Registry,A,OCR stands for Optical Character Recognition.,Computer,IMG_6541.jpg
239,What does OMR stand for?,Optical Machine Reader,Output Management Report,Optical Mark Reader,Original Memory Recorder,C,OMR stands for Optical Mark Reader.,Computer,IMG_6541.jpg
240,What does WIKI stand for?,Web Information Knowledge Index,What I Know Is,Wireless Internet Key Interface,Worldwide Internet Knowledge Initiative,B,WIKI stands for What I Know Is.,Computer,IMG_6541.jpg
241,What does ALU stand for?,Advanced Logic Unit,Arithmetic and Logic Unit,Applied Learning Utility,Automated Language Upgrade,B,ALU stands for Arithmetic and Logic Unit.,Computer,IMG_6541.jpg
242,What does CU stand for?,Central Unit,Control Unit,Computer Utility,Communication Unit,B,CU stands for Control Unit.,Computer,IMG_6541.jpg
243,What does FOSS stand for?,Fast Operating System Software,Free and Open Source Software,File Organization System Software,First Open Source Solution,B,FOSS stands for Free and Open Source Software.,Computer,IMG_6541.jpg
244,What does ROM stand for?,Read Only Memory,Random Output Memory,Read Output Module,Random Only Module,A,ROM stands for Read Only Memory.,Computer,IMG_6541.jpg
245,What does RAM stand for?,Read Access Memory,Random Access Memory,Read Allocation Module,Random Allocation Module,B,RAM stands for Random Access Memory.,Computer,IMG_6541.jpg
246,What does VDU stand for?,Virtual Display Unit,Video Display Utility,Visual Data Unit,Video Data Utility,A,VDU stands for Visual Display Unit.,Computer,IMG_6541.jpg
247,What does IMEI stand for?,International Mobile Equipment Identity,Internet Mobile Equipment Identifier,Internal Mobile Equipment Interface,Internet Mobile Equipment Identity,A,IMEI stands for International Mobile Equipment Identity.,Computer,IMG_6541.jpg
248,What does TCP stand for?,Transmission Control Protocol,Transfer Control Program,Technical Communication Protocol,Total Communication Program,A,TCP stands for Transmission Control Protocol.,Computer,IMG_6541.jpg
249,What does DHCP stand for?,Dynamic Host Configuration Protocol,Data Handling Control Program,Digital Host Communication Protocol,Direct Host Configuration Program,A,DHCP stands for Dynamic Host Configuration Protocol.,Computer,IMG_6541.jpg
250,What does CSS stand for?,Computer Style Sheets,Cascading Style Sheets,Creative System Solutions,Central Style System,B,CSS stands for Cascading Style Sheets.,Computer,IMG_6541.jpg
251,What does FPS stand for?,Frames Per Second,Files Per Second,Functions Per Second,Features Per Second,A,FPS stands for Frame Per Second.,Computer,IMG_6541.jpg
252,What does OTP stand for?,Open Transfer Protocol,One Time Password,Online Transaction Protocol,Original Transfer Program,B,OTP stands for One Time Password.,Computer,IMG_6541.jpg
253,What does HTML stand for?,Hyper Text Markup Language,High-Level Text Management Language,Home Tool Markup Language,Hyperlink and Text Management Language,A,HTML stands for Hyper Text Markup Language.,Computer,IMG_6541.jpg
254,Which layer of the atmosphere contains the air we breathe and the clouds?,Stratosphere,Troposphere,Mesosphere,Thermosphere,B,The troposphere is the layer closest to the Earth's surface and contains the air we breathe and the clouds.,Science,IMG_6520.jpg
255,Which layer of the atmosphere is ideal for flying airplanes?,Troposphere,Stratosphere,Mesosphere,Thermosphere,B,The stratosphere is ideal for flying airplanes because it is stable and contains a layer of ozone gas.,Science,IMG_6520.jpg
256,Which layer of the atmosphere is the uppermost layer?,Troposphere,Stratosphere,Mesosphere,Exosphere,D,The exosphere is the outermost layer of the atmosphere.,Science,IMG_6520.jpg
257,Which of the following is NOT a layer of the Earth's interior?,Crust,Mantle,Core,Atmosphere,D,"The crust, mantle, and core are the three main layers of the Earth's interior. The atmosphere is a layer of gases surrounding the Earth.",Science,IMG_6520.jpg
258,What percentage of the Earth's volume does the core make up?,1%,15%,84%,100%,B,The core makes up only 15% of the Earth's volume.,Science,IMG_6520.jpg
259,What percentage of the Earth's volume does the mantle occupy?,1%,15%,84%,100%,C,The mantle occupies 84% of the Earth's volume.,Science,IMG_6520.jpg
260,What is the outermost layer of the Earth called?,Mantle,Core,Crust,Exosphere,C,The outermost layer of the Earth is called the crust.,Science,IMG_6520.jpg
261,Which of the following describes the Earth's crust?,Hot and liquid,"Cold, thin, and brittle",Thick and dense,Made of gas,B,"The Earth's crust is a cold, thin, and brittle outer shell made of rock.",Science,IMG_6520.jpg
262,What are the two types of crust?,Inner and Outer,Oceanic and Continental,Solid and Liquid,Rocky and Sandy,B,The two types of crust are oceanic crust and continental crust.,Science,IMG_6520.jpg
263,What is the capital of Andhra Pradesh?,Hyderabad,Amaravati,Chennai,Bengaluru,B,The capital of Andhra Pradesh is Amaravati.,Geography,IMG_6526.jpg
264,Which of the following is the capital of Arunachal Pradesh?,Dispur,Itanagar,Kohima,Shillong,B,The capital of Arunachal Pradesh is Itanagar.,Geography,IMG_6526.jpg
265,What is the capital of Assam?,Patna,Raipur,Dispur,Gandhinagar,C,The capital of Assam is Dispur.,Geography,IMG_6526.jpg
266,The capital of Bihar is:,Raipur,Patna,Panaji,Gandhinagar,B,The capital of Bihar is Patna.,Geography,IMG_6526.jpg
267,Which city serves as the capital of Chhattisgarh?,Panaji,Raipur,Chandigarh,Shimla,B,The capital of Chhattisgarh is Raipur.,Geography,IMG_6526.jpg
268,What is the capital of Goa?,Panaji,Gandhinagar,Chandigarh,Shimla,A,The capital of Goa is Panaji.,Geography,IMG_6526.jpg
269,Gandhinagar is the capital of which state?,Gujarat,Haryana,Himachal Pradesh,Jharkhand,A,Gandhinagar is the capital of Gujarat.,Geography,IMG_6526.jpg
270,Which of the following is the capital of Haryana?,Chandigarh,Shimla,Ranchi,Bengaluru,A,The capital of Haryana is Chandigarh.,Geography,IMG_6526.jpg
271,What is the capital of Himachal Pradesh?,"Shimla, Dharmashala",Ranchi,Bengaluru,Thiruvananthapuram,A,"The capital of Himachal Pradesh is Shimla, Dharmashala.",Geography,IMG_6526.jpg
272,Ranchi is the capital of which state?,Karnataka,Jharkhand,Kerala,Madhya Pradesh,B,Ranchi is the capital of Jharkhand.,Geography,IMG_6526.jpg
273,What is the capital of Karnataka?,Bengaluru,Thiruvananthapuram,Bhopal,Mumbai,A,The capital of Karnataka is Bengaluru.,Geography,IMG_6526.jpg
274,The capital of Kerala is:,Bhopal,Mumbai,Imphal,Thiruvananthapuram,D,The capital of Kerala is Thiruvananthapuram.,Geography,IMG_6526.jpg
275,Which city serves as the capital of Madhya Pradesh?,Mumbai,Bhopal,Imphal,Shillong,B,The capital of Madhya Pradesh is Bhopal.,Geography,IMG_6526.jpg
276,What is the capital of Maharashtra?,Mumbai,Imphal,Shillong,Aizawl,A,The capital of Maharashtra is Mumbai.,Geography,IMG_6526.jpg
277,Imphal is the capital of which state?,Meghalaya,Manipur,Mizoram,Nagaland,B,Imphal is the capital of Manipur.,Geography,IMG_6526.jpg
278,Which of the following is the capital of Meghalaya?,Aizawl,Kohima,Bhubaneswar,Shillong,D,The capital of Meghalaya is Shillong.,Geography,IMG_6526.jpg
279,What is the capital of Mizoram?,Kohima,Bhubaneswar,Aizawl,Chandigarh,C,The capital of Mizoram is Aizawl.,Geography,IMG_6526.jpg
280,Kohima is the capital of:,Odisha,Punjab,Rajasthan,Nagaland,D,Kohima is the capital of Nagaland.,Geography,IMG_6526.jpg
281,Which city serves as the capital of Odisha?,Chandigarh,Jaipur,Bhubaneswar,Gangtok,C,The capital of Odisha is Bhubaneswar.,Geography,IMG_6526.jpg
282,What is the capital of Punjab?,Jaipur,Chandigarh,Gangtok,Chennai,B,The capital of Punjab is Chandigarh.,Geography,IMG_6526.jpg
283,Jaipur is the capital of which state?,Sikkim,Rajasthan,Tamil Nadu,Telangana,B,Jaipur is the capital of Rajasthan.,Geography,IMG_6526.jpg
284,What is the capital of Sikkim?,Chennai,Hyderabad,Agartala,Gangtok,D,The capital of Sikkim is Gangtok.,Geography,IMG_6526.jpg
285,Chennai is the capital of:,Telangana,Tripura,Tamil Nadu,Uttar Pradesh,C,Chennai is the capital of Tamil Nadu.,Geography,IMG_6526.jpg
286,Which city serves as the capital of Telangana?,Agartala,Hyderabad,Lucknow,Dehradun,B,The capital of Telangana is Hyderabad.,Geography,IMG_6526.jpg
287,What is the capital of Tripura?,Lucknow,"Dehradun, Bhararisain",Kolkata,Agartala,D,The capital of Tripura is Agartala.,Geography,IMG_6526.jpg
288,Lucknow is the capital of which state?,Uttarakhand,Uttar Pradesh,West Bengal,Andhra Pradesh,B,Lucknow is the capital of Uttar Pradesh.,Geography,IMG_6526.jpg
289,What is the capital of Uttarakhand?,Kolkata,"Dehradun, Bhararisain",Amaravati,Itanagar,B,"The capital of Uttarakhand is Dehradun, Bhararisain.",Geography,IMG_6526.jpg
290,Kolkata is the capital of:,Arunachal Pradesh,Assam,West Bengal,Bihar,C,Kolkata is the capital of West Bengal.,Geography,IMG_6526.jpg
291,Who is the current Chief Minister of Andhra Pradesh?,Sri Nara Chandrababu Naidu,Sri Pema Khandu,Sri Himanta Biswa Sarma,Sri Nitish Kumar,A,Sri Nara Chandrababu Naidu is the Chief Minister of Andhra Pradesh.,Civics,IMG_6526.jpg
292,Who is the current Chief Minister of Arunachal Pradesh?,Sri Pema Khandu,Sri Himanta Biswa Sarma,Sri Nitish Kumar,Sri Vishnu Deo Sai,A,Sri Pema Khandu is the Chief Minister of Arunachal Pradesh.,Civics,IMG_6526.jpg
293,Who is the current Chief Minister of Assam?,Sri Himanta Biswa Sarma,Sri Nitish Kumar,Sri Vishnu Deo Sai,Sri Pramod Sawant,A,Sri Himanta Biswa Sarma is the Chief Minister of Assam.,Civics,IMG_6526.jpg
294,Who is the current Chief Minister of Bihar?,Sri Nitish Kumar,Sri Vishnu Deo Sai,Sri Pramod Sawant,Sri Bhupendra Patel,A,Sri Nitish Kumar is the Chief Minister of Bihar.,Civics,IMG_6526.jpg
295,Who is the current Chief Minister of Chhattisgarh?,Sri Vishnu Deo Sai,Sri Pramod Sawant,Sri Bhupendra Patel,Sri Nayab Singh Saini,A,Sri Vishnu Deo Sai is the Chief Minister of Chhattisgarh.,Civics,IMG_6526.jpg
296,Who is the current Chief Minister of Goa?,Sri Pramod Sawant,Sri Bhupendra Patel,Sri Nayab Singh Saini,Sri Sukhvinder Singh Sukhu,A,Sri Pramod Sawant is the Chief Minister of Goa.,Civics,IMG_6526.jpg
297,Who is the current Chief Minister of Gujarat?,Sri Bhupendra Patel,Sri Nayab Singh Saini,Sri Sukhvinder Singh Sukhu,Sri Hemant Soren,A,Sri Bhupendra Patel is the Chief Minister of Gujarat.,Civics,IMG_6526.jpg
298,Who is the current Chief Minister of Haryana?,Sri Nayab Singh Saini,Sri Sukhvinder Singh Sukhu,Sri Hemant Soren,Sri Siddaramaiah,A,Sri Nayab Singh Saini is the Chief Minister of Haryana.,Civics,IMG_6526.jpg
299,Who is the current Chief Minister of Himachal Pradesh?,Sri Sukhvinder Singh Sukhu,Sri Hemant Soren,Sri Siddaramaiah,Sri Pinarayi Vijayan,A,Sri Sukhvinder Singh Sukhu is the Chief Minister of Himachal Pradesh.,Civics,IMG_6526.jpg
300,Who is the current Chief Minister of Jharkhand?,Sri Hemant Soren,Sri Siddaramaiah,Sri Pinarayi Vijayan,Sri Mohan Yadav,A,Sri Hemant Soren is the Chief Minister of Jharkhand.,Civics,IMG_6526.jpg
301,Who is the current Chief Minister of Karnataka?,Sri Siddaramaiah,Sri Pinarayi Vijayan,Sri Mohan Yadav,Sri Devendra Fadnavis,A,Sri Siddaramaiah is the Chief Minister of Karnataka.,Civics,IMG_6526.jpg
302,Who is the current Chief Minister of Kerala?,Sri Pinarayi Vijayan,Sri Mohan Yadav,Sri Devendra Fadnavis,Sri Conrad Kongkal Sangma,A,Sri Pinarayi Vijayan is the Chief Minister of Kerala.,Civics,IMG_6526.jpg
303,Who is the current Chief Minister of Madhya Pradesh?,Sri Mohan Yadav,Sri Devendra Fadnavis,Sri Conrad Kongkal Sangma,Sri PU Lalduhoma,A,Sri Mohan Yadav is the Chief Minister of Madhya Pradesh.,Civics,IMG_6526.jpg
304,Who is the current Chief Minister of Maharashtra?,Sri Devendra Fadnavis,Sri Conrad Kongkal Sangma,Sri PU Lalduhoma,Sri Neiphiu Rio,A,Sri Devendra Fadnavis is the Chief Minister of Maharashtra.,Civics,IMG_6526.jpg
305,Who is the current Chief Minister of Meghalaya?,Sri Conrad Kongkal Sangma,Sri PU Lalduhoma,Sri Neiphiu Rio,Sri Mohan Charan Majhi,A,Sri Conrad Kongkal Sangma is the Chief Minister of Meghalaya.,Civics,IMG_6526.jpg
306,Who is the current Chief Minister of Mizoram?,Sri PU Lalduhoma,Sri Neiphiu Rio,Sri Mohan Charan Majhi,Sri Bhagwant Singh Mann,A,Sri PU Lalduhoma is the Chief Minister of Mizoram.,Civics,IMG_6526.jpg
307,Who is the current Chief Minister of Nagaland?,Sri Neiphiu Rio,Sri Mohan Charan Majhi,Sri Bhagwant Singh Mann,Sri Bhajan Lal Sharma,A,Sri Neiphiu Rio is the Chief Minister of Nagaland.,Civics,IMG_6526.jpg
308,Who is the current Chief Minister of Odisha?,Sri Mohan Charan Majhi,Sri Bhagwant Singh Mann,Sri Bhajan Lal Sharma,Sri Prem Singh Tamang (Golay),A,Sri Mohan Charan Majhi is the Chief Minister of Odisha.,Civics,IMG_6526.jpg
